"Warning System for Driver","rem","rem","rem","0"
"Vehicle Maintenance Index- In Today’s world with so many cars, models in the market, it is hard to find out which car has a high maintenance cost/index that is authentic source.","rem","rem","rem","0"
"PREDICTION OF TARIFF RATEPREDICTION OF TARIFF RATE","rem","rem","rem","0"
"Portal for Farmers to sell the produce at a better rate","rem","rem","rem","0"
"Lab Report Digitization / OCR","rem","rem","rem","0"
"Gamification for Health data collection","rem","rem","rem","0"
"Crop Guidance and Farmers Friend • Problem Title : Helping the farmers in terms of Crop suggestion, precautions based on the met department forecast of rain fall / weather, potential pest attacks , weather warnings etc.","rem","rem","rem","0"
"Create an affordable solution through image processing of number plates of vehicles for the detection, identification and monitoring of vehicles in different senarios such as residential societies, tolls, business complex, parking spaces etc.","rem","rem","rem","0"
"Better and faster emergency care during accidents and vehicle impact.","rem","rem","rem","0"
"Anti Theft Systems for 2 wheelers","rem","rem","rem","0"
"Virtual Assistant for Medical Device","rem","rem","rem","0"
"Process Modeling","rem","rem","rem","0"
"Atithi Devo Bhava","rem","rem","rem","0"
"Cisco Wireless Access + IoT App Hosting","rem","rem","rem","0"
"Mid-Day Meal Analytics","rem","rem","rem","0"
"Design and Development of working prototype of Helicopter Turbo-propellers","rem","rem","rem","0"
"NYKS requires a software / Mobile through which we may take attendance of the Officers who are working in the different districts and States across the country.NYKS requires a software / Mobile through which we may take attendance of the Officers who are working in the different districts and States across the country.NYKS requires a software / Mobile through which we may take attendance of the Officers who are working in the different districts and States across the country.","rem","rem","rem","0"
"Rating an Airport Mapping Database","rem","rem","rem","0"
"A web based software is sought for fail-free operations of various CNS/ATM facilities, preventive maintenance is carried out on daily, weekly, monthly, six-montly and annual basis.","rem","rem","rem","0"
"Creating Ability to Server Logs Management for Analysis & Report of Heterogeneous Servers","rem","rem","rem","0"
"An Mobile based Inventory Management System using QR code application","rem","rem","rem","0"
"A visual Dashboard based on data analytics for percentage utilization of Airport facilities and utilities using IOT.","rem","rem","rem","0"
"Knowledge Management System through Block Chain","rem","rem","rem","0"
"Mobile Application based Passenger facilitation System using Artificial Intelligence and Machine learning","rem","rem","rem","0"
"Management Information System (MIS) software for IMOs","rem","rem","rem","0"
"Digital tracking of children of migrant population to follow-up on their health status and immunization services received/to be given.","rem","rem","rem","0"
"Use of Al based Chat bots for providing health related information","rem","rem","rem","0"
"Leveraging block chain technology for creation of Electronic Health Record (EHR)","rem","rem","rem","0"
"Smart Management of Street lights for Energy Conservation","rem","rem","rem","0"
"Landslide monitoring through drones","rem","rem","rem","0"
"Identify Solution with respect to Interstate & Inter Country Criminals e.g. Using Identity Inputs","rem","rem","rem","0"
"Community oriented policing (Digital Policing)","rem","rem","rem","0"
"Interactive map application for real time crime reporting","rem","rem","rem","0"
"Efficient Chatbot Designing","rem","rem","rem","0"
"Assessment of land holding pattern, source of irrigation, cropping pattern and depth of the wells in different parts of the country","rem","rem","rem","0"
"Data analytics to provide complete solution for groundwater management for the country","rem","rem","rem","0"
"Laser based Vibration Sensor operated through mobile","rem","rem","rem","0"
"Fiducial localization for pre-operative planning in neurosurgery","rem","rem","rem","0"
"Digital Imaging of Objects behind Steel walls","rem","rem","rem","0"
"A Mobile App with Virtual Reality Based Gallery for Heritage Museums of Andaman & Nicobar Islands","rem","rem","rem","0"
"Primary health care in remote areas using Cloud medicine and Diagnostic Services","rem","rem","rem","0"
"UAV’s for Disaster Identification and alerting System","rem","rem","rem","0"
"SOLAR POWERED SMART IRRIGATION SYSTEM","rem","rem","rem","0"
"Way Out for Man-animal conflict especially for protection of agriculture crops from wild animals","rem","rem","rem","0"
"Restoring of transportation system in the Hill areas of Uttarakhand during peak rainy season","rem","rem","rem","0"
"Predicting the trends of quality-oriented jobs","rem","rem","rem","0"
"Alumni Tracking System","rem","rem","rem","0"
"Pothole Challenge","rem","rem","rem","0"
"Stray Cattle Challenge","rem","rem","rem","0"
"Identification of optimal set of multiple interceptor launch areas to maximise the destruction of multiple air targets","rem","rem","rem","0"
"Effective use of Cyber Space and Cyber Technology to prevent violence against and trafficking of women and children","rem","rem","rem","0"
"Tracking and Control of inmate inside the Jail","rem","rem","rem","0"
"Virtual Tourist Guide","rem","rem","rem","0"
"Device to check for harmful chemicals in vegetables and fruits","rem","rem","rem","0"
"Indoor Navigation App","rem","rem","rem","0"
"Design State Research Portal, a single point securely hosted solution to seamlessly integrate search and manage all the research activities","rem","rem","rem","0"
"CAPTCHA/alternative solution for Visually impaired","rem","rem","rem","0"
"Embankment Mapping and Crowdsourced Health Card for Preventive Structural Measures","rem","rem","rem","0"
"Tracking of babies discharged from S.N.C.U. (Sick New Born Care Unit), Agartala Government Medical College (AGMC)","rem","rem","rem","0"
"Identification of Geo location using Smartphone in absence of internet and mobile network.","rem","rem","rem","0"
"Android App for Geo-tagging location of wildlife and forest offence and sighting of wildlife in the forest areas","rem","rem","rem","0"
"Artificial intelligence enabled robotic trash boat to drive & harvest floating trash from urban drain.","rem","rem","rem","0"
"Job recommender system. To design a software application for assessing the abilities of a student with respect to employability.","rem","rem","rem","0"
"Domain specific Learner facilitator Assist Software Given a learning resource the application should assist the learner in preparing for exams. For the facilitator the teaching material should be prepared automatically. The learning resource could be electronic materials on a particular subject.","rem","rem","rem","0"
"""Bibliophile Companion - A companion similar to an active agent, that helps the reader to organize and retrieve the highlighted text, book marked page and credentials of the content source in cloud across heterogeneous platforms, gadgets and applications. ""","rem","rem","rem","0"
"Non-invasive Glucometer","rem","rem","rem","0"
"solutions required to solve the challenges faced by Law Investigating Officers (LEOs) in Cyber Crimes:","rem","rem","rem","0"
"solutions required to address challenges faced in clean water supply","rem","rem","rem","0"
"APPCB looks forward to bringing in all polluting industries in the state to enhance the existing system more transparent and effective monitoring of emissions and effluents. APPCB envisages implementing Internet of Things (loT) technology for obtaining of authentic and reliable data directly from the analyzers installed at the industry rather than the data from the intermediary system.","rem","rem","rem","0"
"Know your Ghats mobile app facilitating general public use information on Ghats/crematoria existing along Ganga and its tributaries.","rem","rem","rem","0"
"Automated Basti (Enema) Preparation machine","rem","rem","rem","0"
"Livestock Health Database","rem","rem","rem","0"
"Disease Reporting System","rem","rem","rem","0"
"Automatic Assessment of Pavement condition based on road photographs","rem","rem","rem","0"
"Automation mechanism for image capturing, processing, standardization, evaluation, classification leading to better decision making results for various programs","rem","rem","rem","0"
"Streamlining of Reporting Framework for MGNREGA reports","rem","rem","rem","0"
"Intelligent attendance solution for MGNREGA workers","rem","rem","rem","0"
"Geography based analysis for noise identification in large and complex data gathered","rem","rem","rem","0"
"Making websites meaningful for differently Abled citizens with open source tools","rem","rem","rem","0"
"Non network intensive record keeping system for SHG","rem","rem","rem","0"
"One Nation – One Citizen – One Pension – Identify citizens receiving multiple benefits like pensions under different schemes of the centre and state, such as NPS, NSAP Schemes, PMSYM and State level schemes","rem","rem","rem","0"
"Mechanism for linking of works under convergence in Rurbanwith multiple DBs (e.g.: MGNREGS, PMUY, DDU-GKY, PMAY, SAGY etc.)","rem","rem","rem","0"
"Artificial Intelligence (Al) and Machine Learning solutions for Police functions","rem","rem","rem","0"
"Mobile Apps for Citizens and Police for management of crime records","rem","rem","rem","0"
"Data Crawlers to collect data","rem","rem","rem","0"
"Monitoring and Evaluation of Higher Educational Institutions in Andhra Pradesh","rem","rem","rem","0"
"Detecting Poor Telecom Connectivity (Cellular) regions using user device signal strength","rem","rem","rem","0"
"Mapping of Telecom infrastructure in GIS application","rem","rem","rem","0"
"Solution for initiating some kind of alarm to protect underground fiber while digging the road for construction","rem","rem","rem","0"
"Upgrading 3G Mobile for LTE/4G network","rem","rem","rem","0"
"To develop an app and SMS based application which can register the grey market complaint","rem","rem","rem","0"
"Development of platform for dialing single emergency no SDC (Short digit code)","rem","rem","rem","0"
"Automated Inspection of manufacturing Process","rem","rem","rem","0"
"Software to track the goods through its delivery path and ensure safe delivery","rem","rem","rem","0"
"Solution For Implementing and tracking of certified jute seeds packaging from the suppliers to jute farmers in india.","rem","rem","rem","0"
"Artificial Intelligence based solution which may calculate the probability of future market trend on the basis of past years data and suggest a suitable pricing model for sale of cotton","rem","rem","rem","0"
"Estimation of crop progression","rem","rem","rem","0"
"Estimation of crop yield using modern ICT tools which is quick and reliable for making a realistic plan for procurement and to compensate farmers for yield loss if any.","rem","rem","rem","0"
